Y,Bacteria,Archaea,Functional_gene_diversity,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Pantanal_swamp_forest,10.513682,9.158103,1.155892871,5.037988,1,1,8.981932,8.06866,4.404953,7.730248,7.933594,5.581703,9.33181,,,Pantanal_swamp_forest,-16.4833,-56.7463,3.962513889,7.010989011,0.29440531,0.776941015,1.605305944,2.440848912,3.119607067,2.472262002,0.605237238,1.390498828,-0.066390405,1.241568543,1.277106969,2.275067399,1.308228604,26.5,3.112939976
Quebec_drained_bog,10.877344,9.610796,1.437042259,7.427431,7.884666,5.748249,9.515708,7.888425,5.798228,7.96523,8.591691,7.077801,9.424812,,,Quebec_drained_bog,45.1189,-74.2039,5.01,5,0.614444445,0.576666667,1.755366612,2.172310969,3.960495089,3.358157017,1.164881355,1.500861326,0.186893581,1.532895866,1.346334208,2.177376155,1.337126341,7.6,2.969881644
Romania_bog_1,10.803271,8.974193,0.778029013,1,4.899909,5.079252,9.092651,2.869455,3.603689,7.507288,1,5.891646,8.785833,,,Romania_bog_1,47.2591,25.3574,2.546666667,1,0.776666667,0.906666667,2.189190762,2.794436923,2.814069934,2.46339025,0.140926842,1.059437188,0.010017121,1.633636754,1.625776946,2.277227081,0.619788758,5.9,2.751279104
Romania_bog_2,10.122604,8.643585,0.51402474,1,4.841249,2.492089,9.122089,1,3.272752,7.522342,3.425674,5.992034,9.121525,,,Romania_bog_2,47.2591,25.3574,2.554444445,1,0.841111111,0.787777778,1.800640719,2.275981542,2.683722282,1.884864564,-0.897337658,0.799417138,0.008600172,1.650849868,1.643315608,2.257678575,1.13812719,5.9,2.751279104
Romania_bog_forest_1,11.113837,9.876785,0.937830274,4.871169,4.810805,1,9.882486,4.843829,4.846413,8.328029,8.136767,6.748358,10.108271,,,Romania_bog_forest_1,47.2591,25.3574,3.573333333,3,0.75,0.956666667,2.208889037,2.801106303,3.176747031,2.676458875,0.916980047,1.81349203,0.31666913,1.618082978,1.30669717,2.267171728,0.527200119,5.9,2.751279104
Romania_bog_forest_2,11.043232,9.272761,0.725841323,5.789829,5.597471,3.679602,9.772771,2.750114,5.552914,7.997608,7.846654,7.046033,9.819232,,,Romania_bog_forest_2,47.2591,25.3574,2.887777778,2.666666667,0.716666667,0.773333333,1.813499444,2.457747367,2.467374578,1.993318639,-0.41894839,1.141589116,0.211298567,1.587785354,1.38219914,2.241933676,1.167317335,5.9,2.751279104
Siberia_bog,9.621695,7.408482,0.414458531,3.424824,3.094485,2.326681,8.325996,2.891521,3.717288,6.504734,1,3.749174,9.341116,,,Siberia_bog,60.88,68.7,2.723333334,1.666666667,0.768888889,0.872222222,1.900148561,2.95752109,2.764254197,2.384946487,-0.575844608,-0.893544669,-0.192314671,1.629737971,1.827594167,2.284806584,1.287054878,-0.6,2.717670503
Siberia_bog_forest,9.844132,7.406118,0.698296242,1.827237,3.463787,1,8.332194,1,2.089362,1,1,4.917569,8.541959,,,Siberia_bog_forest,60.88,68.7,2.585,3.25,0.806666667,0.906666667,2.075492215,2.847755119,2.767161434,2.377682574,-0.814363423,-0.373317534,-0.218244625,1.650226551,1.871347901,2.194745534,1.246129126,-0.6,2.717670503
Siberia_fen,11.014634,9.81542,1.238835195,5.704939,6.137213,5.988418,9.380754,7.926202,4.439329,8.392927,8.597919,7.313902,9.559793,,,Siberia_fen,60.91,68.75,4.073333334,1,0.348333334,0.935,1.558808535,2.31409204,3.411075094,2.701514738,-0.124167343,1.204721245,0.182319527,1.272035099,1.077418774,2.277227081,1.139354259,-0.6,2.713490543
Taiwan_fen,11.104748,10.386789,1.429445686,8.113976,5.77891,5.744898,9.507758,8.310391,6.068257,7.805506,8.231253,6.642607,9.872335,,,Taiwan_fen,22.2011,120.8514,4.003333334,10,0.151666667,1.026027605,1.338489695,2.291442855,2.581418643,2.123432383,0,1.551677658,-0.263603498,0.916102862,1.175879243,2.301029996,1.351538642,23.3,3.361538971
Taiwan_recreation,10.853789,10.352078,1.376725577,7.010618,5.887911,5.807986,9.015752,8.419794,5.178164,7.873296,8.120074,5.354055,10.237053,,,Taiwan_recreation,22.2006,120.8509,3.876666667,10,0.155,0.937074632,1.601371813,2.079362164,2.425887294,1.993619903,0,1.84510838,-0.232844134,0.956328539,1.1890099,2.293362555,1.305351369,23.3,3.361538971
Tasmania_blanket_bog,9.153426,6.875618,0.867597197,1.797169,4.537422,1,7.047548,2.865717,2.746495,5.59639,1,2.622953,8.095412,,,Tasmania_blanket_bog,-42.881,146.3799,2.861111111,6.333333333,0.507777778,0.841091822,1.015499467,2.260142969,2.579948648,2.735128514,-1.287724528,0.404681706,0.002885688,1.525951341,1.531180352,NA,1.231016256,10.2,3.177824972
Tasmania_drained_fen_1,9.69223,8.328044,1.325467603,5.71127,6.758508,1,7.833009,7.092916,3.809563,8.454113,7.110455,5.491808,8.428177,,,Tasmania_drained_fen_1,-40.866502,145.0653902,4.166666667,5,0.416666667,0.166666667,1.199846559,2.079410396,3.36995946,2.593839661,1.040338572,0.818005831,0.279514853,1.31868927,1.039174416,2.029383778,1.302475237,13.2,3.005180513
