,N2O,Latitude,pH,VPG,OrM,Water_content,NO3,NH4,C/N,Water_table,MAT,MAP,nirK,nirS,nosZI,nosZII,Bacterial_amoA,Archaeal_amoA,,,,,
Tasmania_blanket_bog,1.178976947,42.881,2.861111111,6.333333333,0.507777778,0.841091822,-1.287724528,0.404681706,1.531180352,NA,10.2,3.177824972,7.05,2.866666667,5.596666667,1,4.536666667,1.796666667,,,,,
Tasmania_drained_fen_1,1.367542274,40.866502,4.166666667,5,0.416666667,0.166666667,1.040338572,0.818005831,1.039174416,2.029383778,13.2,3.005180513,7.83,7.09,8.45,7.11,6.76,5.71,,,,,
Tasmania_drained_fen_2,1.406199424,40.9231,5.765,5,0.535,0.22,2.173535895,1.129528774,1.061434807,2.008600172,13.1,2.990338855,10.2,8.24,8.27,8.51,8.22,6.96,,,,,
Tasmania_fen,1.203576775,40.9234,5.38,5,0.156666667,0.930377467,0.78012521,0.413076132,1.186605131,2.26245109,13.1,2.990338855,9.21,8.41,8.03,8.63,6.92,7.3,,,,,
Tasmania_raised_bog,1.170750511,42.175597,3.656666667,2,0.708333334,0.875,1.091432457,1.814180981,1.340099351,2.152288344,8.2,3.072065991,9.76,4.975,6.73,4.45,5.465,5.395,,,,,
Tierra_del_Fuego_bog,1.217167979,54.74044,2.97,1,0.787333333,0.914666667,0.531649195,1.242011073,1.691747285,2.246498581,5.3,2.615950052,8.608,2.24,4.948,5.208,4.208,4.598,,,,,
Tierra_del_Fuego_fen,1.176091259,54.74044,5.250666667,1,0.770666667,0.87,0.33243846,1.183326797,1.171500248,2.27600199,5.3,2.615950052,9.882,8.656,8.406,7.956,5.566,4.68,,,,,
Uganda_drained_fen_1,2.680548528,1.342,5.126666667,4.333333333,0.693333333,0.663333333,2.15909575,0.716559775,1.179409534,2.22184875,18.3,2.948412966,9.72,9.01,8.12,9.14,7.02,8.59,,,,,
Uganda_drained_fen_2,2.331751125,1.2308475,4.564166667,4.583333334,0.630833334,0.67,1.709602058,1.289161433,1.116658817,2.203214259,17.9,2.980684974,9.885,8.8325,8.6075,9.1175,6.96,8.1825,,,,,
Uganda_fen,1.466645228,1.342,3.923333334,4.666666667,0.33,0.755,0.751920318,1.436957331,1.117127237,2.237208505,18.3,2.948412966,9.615,7.71,8.79,8.38,5.935,8.445,,,,,
Uganda_rice_paddy,2.754124632,0.933862667,4.721666667,10,0.09,0.923333333,-1.112570259,1.726322331,1.077320318,2.307139328,22.6,3.104487111,9.59,8.34,7.85,7.866666667,5.606666667,6.98,,,,,
Wales_blanket_bog,1.176091259,52.9997,2.953333334,1.333333334,0.815,0.928333334,-0.023038984,0.704436519,1.434452574,2.298853076,7.6,3.174350597,10.04,6.455,8.41,7.45,6.005,8.055,,,,,
Wales_drained_bog,1.176091259,52.9692,2.836666667,2.666666667,0.835,0.87,-0.169625217,0.269901923,1.451345925,2.275311355,7.6,3.176380692,10.4,6.865,7.815,8.09,6.705,7.715,,,,,
Wales_fen,1.176091259,53.0001,3.888333334,2.666666667,0.815,0.885,-0.585026652,1.223149683,1.378792399,2.260071388,7.9,3.111934276,10.25,7.205,9.075,7.915,5.825,7.135,,,,,
