,Site,Latitude,N2O,Archaeal_amoA,nir,,,,
Y098,Romania_bog_forest_2,47.2591,-0.95,1.15E+05,6.54E+09,,,,
Y099,Romania_bog_forest_2,47.2591,0.49,3.85E+05,4.86E+09,,,,
Y100,California_fen,38.0169,0.47,5.50E+07,6.17E+09,,,,
Y101,California_drained_fen,38.0169,69.85,4.75E+07,2.69E+09,,,,
Y102,French_Pyrenees_fen,42.8032,27.66,0.00E+00,1.18E+11,,,,
Y103,Catalonia_transitional_bog,42.6282,0.00,4.24E+04,2.28E+09,,,,
Y104,Catalonia_transitional_bog,42.6282,0.00,0.00E+00,1.88E+09,,,,
Y105,Catalonia_transitional_bog,42.6282,18.90,2.26E+05,1.06E+09,,,,
Y106,Wales_fen,53.0001,0.00,3.37E+06,1.24E+10,,,,
Y107,Wales_fen,53.0001,0.00,5.44E+07,2.26E+10,,,,
Y108,Wales_blanket_bog,52.9997,0.00,1.52E+08,1.84E+10,,,,
Y109,Wales_blanket_bog,52.9997,0.00,8.55E+07,5.97E+09,,,,
Y110,Wales_drained_bog,52.9692,0.00,4.18E+07,3.27E+10,,,,
Y111,Wales_drained_bog,52.9692,0.00,6.42E+07,1.83E+10,,,,
Y112,Tierra_del_Fuego_fen,54.74044,0.00,5.22E+04,9.30E+09,,,,
Y113,Tierra_del_Fuego_fen,54.74044,0.00,1.65E+04,6.44E+09,,,,
Y114,Tierra_del_Fuego_fen,54.74044,0.00,4.83E+04,9.03E+09,,,,
Y115,Tierra_del_Fuego_fen,54.74044,0.00,1.16E+05,8.70E+09,,,,
Y116,Tierra_del_Fuego_fen,54.74044,0.00,5.15E+04,8.01E+09,,,,
Y117,Tierra_del_Fuego_bog,54.74044,7.40,7.60E+07,7.55E+09,,,,
Y118,Tierra_del_Fuego_bog,54.74044,-0.69,1.73E+03,1.44E+08,,,,
Y119,Tierra_del_Fuego_bog,54.74044,0.00,3.68E+03,1.01E+08,,,,
Y120,Tierra_del_Fuego_bog,54.74044,0.73,3.58E+04,3.24E+08,,,,
Y121,Tierra_del_Fuego_bog,54.74044,0.00,5.60E+03,3.08E+08,,,,
Y122,Mexico_chinampa_1,19.29,13.70,4.07E+07,8.46E+08,,,,
Y123,Mexico_chinampa_1,19.29,27.66,9.84E+07,2.35E+09,,,,
Y124,Mexico_chinampa_2,19.29,98.33,6.53E+07,1.08E+09,,,,
Y125,Mexico_chinampa_2,19.29,11.25,1.38E+08,1.82E+09,,,,
Y126,Mexico_chinampa_2,19.29,6.53,1.76E+08,2.24E+09,,,,
Y127,Mexico_chinampa_1,19.29,29.28,7.65E+07,2.91E+09,,,,
Y128,Mexico_fen,19.2862,12.28,3.05E+07,1.31E+10,,,,
Y129,Mexico_fen,19.2862,0.00,1.83E+07,1.36E+10,,,,
Y130,Mexico_fen,19.2862,-0.15,1.54E+07,6.92E+09,,,,
Y131,Morocco_bog_1,35.2703,-2.02,2.61E+06,1.17E+09,,,,
Y132,Morocco_bog_2,35.1866,-0.77,4.29E+07,2.52E+09,,,,
Y133,Colombia_paramo,6.6699,0.00,1.45E+06,1.75E+10,,,,
