Y,Bacteria;Acidobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Actinobacteria,Bacteria;Proteobacteria;Deltaproteobacteria,Bacteria;Chloroflexi,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Planctomycetes,Bacteria;Verrucomicrobia,Bacteria;Bacteroidetes,Archaea;Euryarchaeota,Bacteria;Nitrospirae,Bacteria;Firmicutes,Bacteria;Gemmatimonadetes,Bacteria;Parcubacteria,Bacteria;Spirochaetae,Bacteria;Ignavibacteriae,Eukaryota;Ascomycota,Bacteria;Microgenomates,Bacteria;Chlamydiae,Archaea;Bathyarchaeota,Archaea;Thaumarchaeota,Bacteria;Latescibacteria,Bacteria;Saccharibacteria,Eukaryota;Basidiomycota,,
Morocco_bog_1,0.398267453,0.402987225,0.30818126,0.21927635,0.174556628,0.284670471,0.18997,0.217296388,0.267852576,0.189114917,0.038893391,0.064077209,0.126456933,0.060610972,0.115750435,0.053002757,0.060610972,0.055977151,0.050923402,0.079163645,0.025461701,0.025461701,0.036008283,0.083157567,0.025461701,,
Morocco_bog_2,0.484090316,0.409779443,0.264078348,0.240201935,0.211774609,0.251701282,0.180235536,0.248307402,0.218350103,0.117550763,0.044038551,0.085280287,0.122268127,0.067867965,0.088077101,0.058946989,0.040201513,0.097649135,0.046709937,0.077849894,0.012712835,0.061627752,0.043111319,0.053935989,0.090341663,,
Myanmar_drained_fen_1,0.357649788,0.337195454,0.349938207,0.291584952,0.328103582,0.300092339,0.209640339,0.230311618,0.12860429,0.16657852,0.050378207,0.192494857,0.101175361,0.15595561,0.11742914,0.061356712,0.070048054,0.037923336,0.077501704,0.047792963,0.063056666,0.087257614,0.088699986,0.062382244,0.021570659,,
Myanmar_drained_fen_2,0.333220443,0.356817556,0.329845522,0.30183078,0.292416367,0.283832039,0.217255176,0.225827754,0.13500464,0.189143539,0.106609774,0.14336102,0.127604484,0.145299108,0.126678124,0.079749918,0.077312798,0.046043637,0.085453373,0.079379847,0.065790326,0.079565098,0.086990121,0.061151235,0.015347879,,
Myanmar_fen,0.307886497,0.329818297,0.203249948,0.323074456,0.304609328,0.311752862,0.265908012,0.253440455,0.155408411,0.217262047,0.151825634,0.124659599,0.143719416,0.104916686,0.110037549,0.126208224,0.098880027,0.051524292,0.072420682,0.067803057,0.058025885,0.067803057,0.105532038,0.03218697,0.025446034,,
New_Zealand_drained_fen_1,0.500949668,0.409023692,0.440359342,0.204511846,0.137881858,0.268781223,0.087204144,0.174408288,0.163144015,0.151042008,0.087204144,0,0.174408288,0.137881858,0,0,0,0.061662642,0,0,0,0.061662642,0,0,0,,
New_Zealand_fen_1,0.44013325,0.488970854,0.150624065,0.150624065,0.059079619,0.200348736,0.273940924,0.150624065,0.213014596,0.150624065,0,0,0.083551199,0,0.059079619,0.059079619,0,0.182095616,0.041775599,0.110527847,0,0,0,0.059079619,0.09341308,,
New_Zealand_fen_2,0.442479478,0.439619527,0.286816845,0.212063513,0.126112468,0.287389906,0.229931007,0.233481361,0.212837941,0.161909739,0.05639921,0.057363369,0.126546591,0.064560342,0.100998633,0.047993638,0.05340239,0.092495653,0.051307357,0.098246109,0.020946141,0.040562027,0.01813989,0.083784563,0.110836559,,
Pantanal_pasture_1,0.352343928,0.293220573,0.381102416,0.268172393,0.409313039,0.170080216,0.120264874,0.254331697,0.188030754,0.083850678,0.12517565,0.061780206,0.232460246,0.126770309,0.110697413,0.056693405,0.063385154,0.11687645,0.078913881,0.049097929,0.040088291,0.040088291,0.040088291,0.086213131,0.047007689,,
Pantanal_pasture_2,0.357552086,0.325662418,0.355140479,0.3055613,0.350555981,0.21127361,0.134713812,0.201976884,0.178174161,0.138780162,0.184310271,0.062389322,0.215654644,0.111741212,0.081065596,0.098517984,0.091328615,0.064383092,0.060747209,0.033348495,0.065934714,0.033348495,0.049258992,0.043247974,0.025635192,,
Pantanal_pasture_3,0.335788507,0.258066071,0.259308573,0.364784356,0.366717701,0.202516947,0.137241306,0.197372819,0.224925347,0.176207585,0.170081583,0.105151448,0.147185824,0.129281894,0.119730133,0.143201107,0.102989513,0.039278659,0.098849124,0.051960782,0.090710178,0.039278659,0.075639045,0.029999571,0.017928173,,
Pantanal_swamp_forest,0.384936051,0.374595915,0.41128093,0.287596939,0.27622424,0.219353858,0.15430335,0.223840086,0.187463752,0.111475031,0.156383219,0.063843182,0.133211496,0.105283431,0.07155273,0.102411523,0.069437402,0.14772019,0.055960022,0.045691166,0.047817461,0.017269638,0.047817461,0.044590012,0.04110996,,
Quebec_drained_bog,0.423868777,0.412852868,0.403551737,0.196438999,0.250125333,0.288599299,0.174828414,0.172905655,0.154682397,0.145617482,0.072808741,0.095757466,0.089572908,0.176865319,0.140781659,0.057819063,0.039698948,0.058230592,0.089572908,0.079397897,0.011969683,0.062579049,0.057404584,0.102967109,0.027642799,,
Romania_bog_1,0.647180022,0.425323646,0.274023035,0.201775341,0.023175733,0.063044811,0.188565606,0.211395214,0.16999049,0.077560839,0.03878042,0.010364503,0.14248836,0.031093509,0.042733941,0,0,0.086094029,0.010364503,0.131510801,0.017951846,0.048613829,0,0.053855538,0.09832631,,
Romania_bog_2,0.736789544,0.407209212,0.269871185,0.169674134,0.070047108,0.061988031,0.148293676,0.151253922,0.148890434,0.054908079,0.092583834,0.013317165,0.073345227,0.015377338,0.013317165,0.015377338,0,0.067467796,0,0.098762741,0.048015722,0.045486779,0,0.048627412,0.07765175,,
