Sample_name,SITE,Archaeal_diversity,Bacterial_diversity,Fungal_diversity,DistEqu,pH,MAT
FIN_LN_C2_0-10,Finland_fen,4.46078715,6.26491087,0.451069455,67.997264,3.78,1
COBG-7,Colombia_drained_paramo,3.43022571,6.48426624,1.128773998,6.643138,3.88,111
CW2-30,Florida_restored_wetland_wet,4.98684923,5.46910081,0.907570769,26.464938,5.66,233
RK_2-10,Uganda_drained_fen_2,2.66614859,7.01813542,2.000983876,1.341695,5.79,178
D2C-30,Uganda_rice_paddy,3.16587826,5.99244943,0.462106166,0.93371,4.94,226
KL_1-10,Uganda_drained_fen_2,2.91536265,6.46649639,1.908338217,1.12,3.6,180
KK7,Estonia_drained_floodplain,2.52672496,6.5098454,0.868123471,58.4236,5.51,57
Haru3B1,Tierra_del_Fuego_bog,0,5.60687316,0.190208244,54.74044,2.95,53
MMa02,Myanmar_drained_fen_1,4.1105933,7.27814909,0.963061628,20.649196,7.38,229
MMg12,Myanmar_drained_fen_2,3.22453411,6.77907735,1.059247106,20.6108,7.28,229
CTp9_0-10,Catalonia_transitional_bog,2.31142344,6.87150176,1.868669531,42.6282,4.24,54
BC1_0-10,Florida_swamp_forest_2,3.52902252,6.63920849,0.620080097,26.38,5.38,233
KC_1-10,Uganda_drained_fen_1,2.7825694,6.68227543,1.630701002,1.1202,3.97,180
P8_0-10,French_Pyrenees_fen,2.0869625,5.40544051,1.297972921,42.8032,3.78,68
BM3-10,Tasmania_raised_bog,2.33297205,5.71884572,1.161532285,42.1744,3.05,84
MYa_16-10,Borneo_drained_swamp,2.74443836,4.88714727,1.492452394,5.323896,2.04,272
Serv__________________0-10,Romania_bog_forest_1,2.34182864,6.7357919,1.644273627,47.2591,4,59
RS_1_0-10,Romania_bog_forest_2,2.22401015,4.33874464,1.043142944,47.2591,2.65,59
MX_a_3-5,Mexico_chinampa_1,2.56263495,7.03293834,1.875087691,19.29,6.3,167
RL_2.3_0-10,Romania_bog_2,2.33425513,4.47467746,0.819388474,47.2591,2.56,59
OII_1_0-10,Iceland_drained_fen,2.73785787,6.54992573,1.337410409,64.8332,3.88,45
Vega3A1,Tierra_del_Fuego_fen,3.22592414,5.88515441,1.152957564,54.74044,5.6,53
B5-10,Tasmania_blanket_bog,0,5.34790643,1.701194421,42.881,2.99,102
Vega3C1,Tierra_del_Fuego_fen,2.39470041,6.68386311,1.251236164,54.74044,5.42,53
P9_0-10,French_Pyrenees_fen,4.11114691,6.93125986,1.340710014,42.8032,4.35,68
CTp7_0-10,Catalonia_transitional_bog,2.61563058,6.61592278,1.908934297,42.6282,4.2,54
TM_a_I_-10_cm,Brazil_floodplain,3.50010299,6.90749567,0.862695496,28.5527,6.26,213
