,Bacteria,Archaea,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,,,,,,,
Y098,10.881669,9.050126,5.059436,5.521929,5.561459,9.815293,1,5.549991,7.504967,7.778441,6.034464,9.533052,,,,,,,,,,,,
Y099,11.16837,9.14865,5.58563,5.727922,4.477346,9.686944,1,5.552252,8.625862,7.898623,7.130747,9.755007,,,,,,,,,,,,
Y100,10.613255,10.187877,7.740186,4.671529,7.45077,8.984031,9.716234,6.360172,8.629145,8.20476,6.750607,9.880202,,,,,,,,,,,,
Y101,10.562601,9.862677,7.676504,8.045376,1,9.413954,8.002502,6.140123,8.121289,8.804311,5.305826,8.623416,,,,,,,,,,,,
Y102,11.609926,10.817208,1,7.992024,6.096293,11.071261,8.794295,5.539907,7.405087,8.70261,6.749396,11.149543,,,,,,,,,,,,
Y103,11.462807,8.825573,4.627821,4.346333,1,9.338123,7.989201,3.246384,8.303233,8.079515,6.19391,9.936144,,,,,,,,,,,,
Y104,10.996861,8.976269,1,4.469814,1,9.268433,7.429289,3.674917,8.001156,7.589027,6.106607,9.979472,,,,,,,,,,,,
Y105,10.78134,8.801675,5.353552,4.206354,5.774685,8.99496,7.842903,2.741365,8.4188,8.423535,6.17267,9.733564,,,,,,,,,,,,
Y106,10.473299,10.788074,6.527606,5.843886,1,10.093114,6.86169,6.11224,8.834312,7.665447,6.892018,10.428365,,,,,,,,,,,,
Y107,11.215963,10.837954,7.735332,5.807511,5.026005,10.353954,7.545392,6.521457,9.315442,8.156968,7.275329,10.758764,,,,,,,,,,,,
Y108,11.718434,10.401665,8.182056,6.316627,6.098866,10.26354,6.709446,6.559285,8.535958,7.547097,6.4119,10.928797,,,,,,,,,,,,
Y109,11.651298,10.040601,7.931919,5.687826,5.704949,9.776105,6.203077,6.422567,8.280453,7.347457,6.154547,10.509474,,,,,,,,,,,,
Y110,11.784461,10.672839,7.62086,6.885134,5.852946,10.514675,6.786992,6.211764,7.978486,8.298784,6.546165,11.143272,,,,,,,,,,,,
Y111,11.55736,10.465234,7.807478,6.52403,5.58819,10.263278,6.936577,5.962415,7.647014,7.882742,6.179124,10.805348,,,,,,,,,,,,
