,Site,N2O,nirK,nirS,nrfA,nosZI,nosZII,Bac-amoA,Arch-amoA,n-damo,comammox
Y016,Iceland_fen,-0.60,8.146564753,6.863794225,3.83E+00,7.243122808,1,1,1,4.392177344,1
Y017,Romania_bog_1,0.00,9.268526238,1,0.00E+00,7.608994687,1,5.159723109,1,5.866962544,5.177696472
Y018,Romania_bog_1,-0.01,8.656353915,6.608365839,4.44E+00,7.07351586,1,4.467839913,1,5.573840557,4.572364056
Y019,Romania_bog_1,0.18,9.353071875,1,5.37E+00,7.839354406,1,5.072164806,1,6.234134663,5.487695423
Y020,Romania_bog_forest_1,1.28,9.878357639,6.697710272,5.74E+00,8.393050494,7.002218409,1,8.408325368,6.969313892,1
Y021,Romania_bog_forest_1,0.12,9.753033272,1,4.36E+00,7.832492386,8.404805668,6.975372985,1,6.537903579,1
Y022,Romania_bog_forest_1,-0.37,10.01606578,6.833776672,4.44E+00,8.758543625,9.003276066,6.457043121,5.20518185,6.737857329,1
Y023,Brazil_drained_floodplain,20.69,10.21735893,9.698504845,5.71E+00,8.414886156,9.146936219,6.590006231,7.848581009,7.292454169,5.609294717
Y024,Brazil_drained_floodplain,16.33,9.99993415,9.247185161,5.26E+00,8.289311641,8.746641531,6.179091117,7.945885285,7.403001309,5.857886833
Y025,Brazil_drained_floodplain,3.64,10.20646169,9.601431345,5.77E+00,8.392436874,9.257894804,6.328841774,8.325251762,7.57309183,5.603357484
Y026,Brazil_floodplain,13.71,9.95759997,9.557791499,4.16E+00,8.014753617,8.653428172,5.095992199,8.448265934,5.905481836,6.080376594
Y027,Brazil_floodplain,0.01,10.30027463,9.782449808,4.88E+00,8.349894627,9.090185919,5.533739673,8.9740624,7.002944276,7.314818635
Y028,Brazil_floodplain,-0.22,10.03526968,9.642089032,5.13E+00,8.119317998,8.725859524,5.26582159,8.559872152,6.751501452,6.504754455
Y032,Quebec_drained_bog,19.78,9.680485352,8.431527348,5.85E+00,8.089621763,8.963639053,8.137213753,7.787280895,7.279058017,6.171761492
Y033,Quebec_drained_bog,112.32,9.375381189,7.562876189,5.66E+00,7.886865661,8.091943858,7.846819062,7.18326015,6.781214298,5.186905791
Y034,Quebec_drained_bog,58.73,9.491256871,7.670872946,5.88E+00,7.919202306,8.719489613,7.669963984,7.311752076,7.173130683,5.886078802
Y035,Bashkortostan_drained_floodplain_1,31.94,9.318627745,7.564547115,4.82E+00,7.741713859,8.753157112,8.745293868,6.408433951,5.49473982,5.435912684
Y036,Bashkortostan_drained_floodplain_1,4.73,9.456373742,7.987521697,4.46E+00,8.100238196,8.912541234,8.710775118,7.425890286,5.886873628,5.661138213
Y037,Bashkortostan_drained_floodplain_1,6.45,9.505600778,7.56684785,5.40E+00,7.99224196,8.93656685,8.125684499,7.620251979,5.574275558,5.70981774
Y038,Bashkortostan_fen,0.53,9.49123731,8.285401268,4.40E+00,7.816012826,8.907186345,6.569287359,5.965359559,7.421514207,5.361977529
Y039,Bashkortostan_fen,-0.12,9.643449164,8.525866427,4.41E+00,8.055321666,8.922792428,6.660659414,6.145722926,7.608421612,6.555455031
Y040,Bashkortostan_fen,-0.54,9.809871069,8.347978535,4.70E+00,8.202299752,8.765263061,6.233108618,4.931511255,7.427801487,5.817532193
Y041,Bashkortostan_drained_floodplain_2,78.70,9.756105828,7.302726182,4.13E+00,7.595490225,8.076603615,7.33590502,6.15381099,6.00912105,1
Y042,Bashkortostan_drained_floodplain_2,135.52,9.517113208,7.237953767,3.47E+00,7.345992004,7.811527912,7.271139342,6.327544975,5.762672769,1
Y043,Bashkortostan_drained_floodplain_2,206.05,9.502042088,7.03085691,3.80E+00,7.262816859,7.74949229,7.634407165,6.099554431,5.724649686,5.194583985
Y044,Bashkortostan_drained_fen,2.37,9.409058306,7.741316718,4.35E+00,7.959995386,8.741885442,6.654975819,7.892427075,6.242824928,4.786535954
Y045,Bashkortostan_drained_fen,4.64,9.312646199,7.830298521,3.85E+00,7.924629952,8.712428216,6.016668171,8.019983891,6.02142674,1
Y046,Estonia_drained_floodplain,13.63,9.771349068,9.069100645,6.79E+00,8.233657884,8.267309739,7.39832764,7.806332506,6.387323939,6.230136819
Y047,Estonia_drained_floodplain,33.58,9.622069718,8.907583687,0.00E+00,8.065121632,7.979952908,7.438416186,7.897298738,6.290031266,5.834208555
Y048,Estonia_drained_floodplain,177.04,10.19381472,9.075185594,6.88E+00,8.536195061,8.254477598,7.59610819,8.311230459,6.694201223,6.456834284
Y049,Florida_swamp_forest_1,4.57,9.498911132,8.420769343,5.25E+00,7.970574991,8.019752827,5.898853786,7.538487445,6.481488776,6.20486748
Y050,Florida_swamp_forest_1,14.02,9.810210902,9.688660092,5.56E+00,8.725034311,8.957554158,1,7.111962927,5.962979062,6.833847818
Y051,Florida_swamp_forest_1,19.20,10.02154484,9.786658925,5.96E+00,7.963330242,9.305525116,5.875449811,7.959697539,6.935852868,5.501307198
